packageName,policyEntity,policyAction,policyData,policySentences,contradictionNum,contradictoryEntity,contradictoryAction,contradictoryData,contradictionSentences,label
5_ChatGPT,third party,collect,contact information,"b'Identifiers, such as your name, contact details, IP address, and other device identifiers We may disclose this information to our affiliates, vendors and service providers to process in accordance with our instructions; to law enforcement and other third parties for the legal reasons described above; to parties involved in Transactions; to corporate administrators of enterprise or team accounts; and to other users and third parties you choose to share it with.'",C2,third party,not_collect,pii,"b'Disclosure of personal information In certain circumstances we may provide your Personal Information to third parties without further notice to you, unless required by the law vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may provide Personal Information to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, email communication software, web analytics services, and other information technology providers, among others.'",1
5_ChatGPT,third party,collect,person name,"b'Identifiers, such as your name, contact details, IP address, and other device identifiers We may disclose this information to our affiliates, vendors and service providers to process in accordance with our instructions; to law enforcement and other third parties for the legal reasons described above; to parties involved in Transactions; to corporate administrators of enterprise or team accounts; and to other users and third parties you choose to share it with.'",C2,third party,not_collect,pii,"b'Disclosure of personal information In certain circumstances we may provide your Personal Information to third parties without further notice to you, unless required by the law vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may provide Personal Information to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, email communication software, web analytics services, and other information technology providers, among others.'",1
5_ChatGPT,third party,collect,identifier,"b'Identifiers, such as your name, contact details, IP address, and other device identifiers We may disclose this information to our affiliates, vendors and service providers to process in accordance with our instructions; to law enforcement and other third parties for the legal reasons described above; to parties involved in Transactions; to corporate administrators of enterprise or team accounts; and to other users and third parties you choose to share it with.'",C2,third party,not_collect,pii,"b'Disclosure of personal information In certain circumstances we may provide your Personal Information to third parties without further notice to you, unless required by the law vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may provide Personal Information to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, email communication software, web analytics services, and other information technology providers, among others.'",1
5_ChatGPT,child,collect,pii,"b'If you have reason to believe that a child under the age of 13 has provided Personal Information to OpenAI through the Service, please email us at legal@openai.com.'",C3,third party,not_collect,pii,"b'Disclosure of personal information In certain circumstances we may provide your Personal Information to third parties without further notice to you, unless required by the law vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may provide Personal Information to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, email communication software, web analytics services, and other information technology providers, among others.'",0
5_ChatGPT,third party,collect,transaction history,"b'Commercial Information, such as your transaction history We may disclose this information to our affiliates, vendors and service providers to process in accordance with our instructions; to law enforcement and other third parties for the legal reasons described above; to parties involved in Transactions; and to corporate administrators of enterprise or team accounts.'",C2,third party,not_collect,pii,"b'Disclosure of personal information In certain circumstances we may provide your Personal Information to third parties without further notice to you, unless required by the law vendors and Service Providers: To assist us in meeting business operations needs and to perform certain services and functions, we may provide Personal Information to vendors and service providers, including providers of hosting services, customer service vendors, cloud services, email communication software, web analytics services, and other information technology providers, among others.'",0
147_Taimi - LGBTQ+ Dating & Chat,google,collect,geographical location,b'You give us consent to process your approx geolocation data when you allow through your mapping phone service as Google Maps to access your location while you are using our App.',C4,third party,not_collect,pii,"b'We do not exchange your personal data for monetary consideration with third parties, so no opt-out choice is necessary for that.'",0
147_Taimi - LGBTQ+ Dating & Chat,third party payment processor,collect,person name,"b'Taimi does not process payment card information directly; however, our third-party payment processors may provide certain information to us (e.g., your name, address, partial payment card number, and e-mail address).'",C4,third party,not_collect,pii,"b'We do not exchange your personal data for monetary consideration with third parties, so no opt-out choice is necessary for that.'",1
147_Taimi - LGBTQ+ Dating & Chat,third party,collect,pii,"b'Taimi does not sell personal information for monetary consideration; however, we may share certain personal information with third parties under circumstances which might be deemed a ""sale"" or ""share"" under CPPA for ""interest-based advertising"" or ""cross-context behavioral advertising.||Please note that Taimi may stop to share your personal information only with third parties, Hilly may continue to share your personal information with service providers and contractors to provide you Service.'",C1,third party,not_collect,pii,"b'We do not exchange your personal data for monetary consideration with third parties, so no opt-out choice is necessary for that.'",1
147_Taimi - LGBTQ+ Dating & Chat,third party,not_collect,pii,"b'We do not exchange your personal data for monetary consideration with third parties, so no opt-out choice is necessary for that.'",C1,third party,collect,pii,"b'Taimi does not sell personal information for monetary consideration; however, we may share certain personal information with third parties under circumstances which might be deemed a ""sale"" or ""share"" under CPPA for ""interest-based advertising"" or ""cross-context behavioral advertising.||Please note that Taimi may stop to share your personal information only with third parties, Hilly may continue to share your personal information with service providers and contractors to provide you Service.'",1
147_Taimi - LGBTQ+ Dating & Chat,third party payment processor,collect,postal address,"b'Taimi does not process payment card information directly; however, our third-party payment processors may provide certain information to us (e.g., your name, address, partial payment card number, and e-mail address).'",C4,third party,not_collect,pii,"b'We do not exchange your personal data for monetary consideration with third parties, so no opt-out choice is necessary for that.'",1
147_Taimi - LGBTQ+ Dating & Chat,third party payment processor,collect,email address,"b'Taimi does not process payment card information directly; however, our third-party payment processors may provide certain information to us (e.g., your name, address, partial payment card number, and e-mail address).'",C4,third party,not_collect,pii,"b'We do not exchange your personal data for monetary consideration with third parties, so no opt-out choice is necessary for that.'",1
122_Family360 - GPS Live Locator,child,collect,pii,"b'If you become aware that a child has provided us with Personal Data, please contact us.'",C3,third party,not_collect,pii,"b""We don't sell or rent your personal information to any third parties for any purpose.""",0
44_Second Phone Number - 2Number,child,collect,pii,"b'If you reasonably believe that we might have any information from or about a child, or a child has directly provided us with personal information via the App without verifiable parental consent, please contact us.'",C3,third party,not_collect,pii,"b'We will not rent or sell your personal data to any third parties, but we may share your information from tools like cookies, log files, and device identifiers and location data, with third-party organizations that provide automatic data processing technologies for the App.'",0
150_MICO_ Go Live Streaming & Chat,third party,collect,usage information,"b'For example, these third-party services may collect information about your activities on our Platform and notify you your connections on the third-party services about your use of the Platform in accordance with their privacy policies.'",C2,third party,not_collect,pii,"b'We are committed to maintaining your trust and we will not sell your personal information to third parties, we will only share your personal information with your consent or as permitted by law or regulation.'",0
150_MICO_ Go Live Streaming & Chat,third party,collect,pii,b'We may disclose your personal information to the service providers listed in Section 3 of this Policy to enable the corresponding features and services.',C1,third party,not_collect,pii,"b'We are committed to maintaining your trust and we will not sell your personal information to third parties, we will only share your personal information with your consent or as permitted by law or regulation.'",0
150_MICO_ Go Live Streaming & Chat,third party,collect,information about you,"b'If you choose to log into MICO or share information about your use of MICO with others through third-party service platforms, such as Facebook, Google or X, we may share information about you with those third-party services.'",N1,third party,not_collect,pii,"b'We are committed to maintaining your trust and we will not sell your personal information to third parties, we will only share your personal information with your consent or as permitted by law or regulation.'",0
150_MICO_ Go Live Streaming & Chat,third party,collect,phone number,"b'When you create an account, upload content, contact us directly, or otherwise use our Services, you may provide some or all of the following information: In order to protect your safety when you use our Services and to ensure that you get the best experience, we sometimes ask you to provide your phone number or your user account on the third-party platform to verify the authenticity and security of your account.'",C2,third party,not_collect,pii,"b'We are committed to maintaining your trust and we will not sell your personal information to third parties, we will only share your personal information with your consent or as permitted by law or regulation.'",0
150_MICO_ Go Live Streaming & Chat,third party,not_collect,pii,"b'We are committed to maintaining your trust and we will not sell your personal information to third parties, we will only share your personal information with your consent or as permitted by law or regulation.'",C1,third party,collect,pii,b'We may disclose your personal information to the service providers listed in Section 3 of this Policy to enable the corresponding features and services.',0
111_Pandora - Music & Podcasts,analytic provider,collect,geographical location,"b'We may share data that has been aggregated, de-identified, or pseudonymized or Device Data, and general location information with advertising companies, analytics providers, and attribution and measurement vendors, including for the purpose of serving you more relevant ads on and off the Services.'",C4,third party,not_collect,pii,b'Sirius XM does not sell personal data to third parties for monetary compensation.',1
111_Pandora - Music & Podcasts,third party,collect,device information,"b'We, our service providers, or third parties with whom we have a business relationship may automatically collect and store certain data about your device when you visit or interact with the Services (""Device Data"").||Enabled Radios may transmit Device Data and your listening history or preferences to us, our service providers, and the automotive manufacturer when you use the Services.'",C2,third party,not_collect,pii,b'Sirius XM does not sell personal data to third parties for monetary compensation.',2
111_Pandora - Music & Podcasts,third party,collect,pii,"b""If you choose to enter a Promotion, personal data may be disclosed to third parties, to vendors facilitating the implementation of the Promotion, or to the public in connection with the administration of such Promotion, including in connection with winner selection, prize fulfillment, as required by law, or as permitted by the Promotion's terms or official rules.||We may share your personal data with unaffiliated third parties with whom we have a business relationship for ours or for their own business and advertising purposes.||We share your personal data for business purposes with our subsidiaries, third party service providers, vendors and licensors, other Sirius XM users when you provide access to your subscription, and unaffiliated third-party business relationships for business and advertising purposes.""",C1,third party,not_collect,pii,b'Sirius XM does not sell personal data to third parties for monetary compensation.',2
111_Pandora - Music & Podcasts,third party,not_collect,pii,b'Sirius XM does not sell personal data to third parties for monetary compensation.',C1,third party,collect,pii,"b""If you choose to enter a Promotion, personal data may be disclosed to third parties, to vendors facilitating the implementation of the Promotion, or to the public in connection with the administration of such Promotion, including in connection with winner selection, prize fulfillment, as required by law, or as permitted by the Promotion's terms or official rules.||We may share your personal data with unaffiliated third parties with whom we have a business relationship for ours or for their own business and advertising purposes.||We share your personal data for business purposes with our subsidiaries, third party service providers, vendors and licensors, other Sirius XM users when you provide access to your subscription, and unaffiliated third-party business relationships for business and advertising purposes.""",2
111_Pandora - Music & Podcasts,licensor,collect,pii,"b'We share your personal data for business purposes with our subsidiaries, third party service providers, vendors and licensors, other Sirius XM users when you provide access to your subscription, and unaffiliated third-party business relationships for business and advertising purposes.'",C3,third party,not_collect,pii,b'Sirius XM does not sell personal data to third parties for monetary compensation.',2
111_Pandora - Music & Podcasts,subsidiary,collect,pii,"b'We share your personal data for business purposes with our subsidiaries, third party service providers, vendors and licensors, other Sirius XM users when you provide access to your subscription, and unaffiliated third-party business relationships for business and advertising purposes.'",C3,third party,not_collect,pii,b'Sirius XM does not sell personal data to third parties for monetary compensation.',2
111_Pandora - Music & Podcasts,third party,collect,interaction information,"b'When you interact with these third party platforms through the Services, we will receive your personal data from the third party platform service and you agree to share data, which may be personal, about your interactions with the Service with that social media service.'",C2,third party,not_collect,pii,b'Sirius XM does not sell personal data to third parties for monetary compensation.',0
111_Pandora - Music & Podcasts,third party,collect,usage information,"b'These services may also collect information about the use of other websites, apps, and online services.'",C2,third party,not_collect,pii,b'Sirius XM does not sell personal data to third parties for monetary compensation.',0
111_Pandora - Music & Podcasts,browser type,collect,date,"b'If you are logged out or do not have an account and visit a page with a social plug-in, your browser sends a more limited set of data, such as the webpage you are visiting, the date and time of your visit, and other browser-related information.'",C4,third party,not_collect,pii,b'Sirius XM does not sell personal data to third parties for monetary compensation.',0
111_Pandora - Music & Podcasts,third party,collect,non-pii,"b'We may use and share any non-personal data with third parties for any purpose in our discretion and as permitted by law, including for advertising, research and marketing purposes.'",N1,third party,not_collect,pii,b'Sirius XM does not sell personal data to third parties for monetary compensation.',0
"130_Mirror_ Emoji maker, Stickers",third party,collect,video,"b'We collect information when you visit or use third -party websites and apps that use or integrate with our Services (like when they integrate with our App to allow you to share emoji, photos or videos on their platform).'",C2,third party,not_collect,pii,b'We do not sell your personal information to third parties for monetary or other valuable consideration.',0
"130_Mirror_ Emoji maker, Stickers",third party,collect,photo,"b'We collect information when you visit or use third -party websites and apps that use or integrate with our Services (like when they integrate with our App to allow you to share emoji, photos or videos on their platform).'",C2,third party,not_collect,pii,b'We do not sell your personal information to third parties for monetary or other valuable consideration.',0
"130_Mirror_ Emoji maker, Stickers",child,collect,pii,"b'If you learn that a child has provided us with personal information without verifiable parental consent, we will take steps to delete the information and terminate their account if any.||If you become aware that a child has provided us with personal information without parental consent, please contact us by email at mail@mirror-ai.com.'",C3,third party,not_collect,pii,b'We do not sell your personal information to third parties for monetary or other valuable consideration.',0
39_Alpha Manga_ Read Isekai Manga,third party,not_collect,pii,"b'As a California resident, in addition to the choices described above in Section 6 (""Your Choices""), you have the following rights: you may request that we not sell or share your Personal Information to/with third parties.'",C1,third party,collect,pii,"b'We ""sell"" Personal Information to third-party services for interest-based advertising and analytics, and these third-party services may use or disclose some of your Personal Information for their benefit.'",2
39_Alpha Manga_ Read Isekai Manga,third party,collect,information about you,"b'When you use our Services, we and our third-party partners collect information about you and your mobile devices through cookies and similar technologies advertising Identifiers:||When you use our Services, we and our third-party partners collect information about you and your mobile devices through cookies and similar technologies internet Log Files:||When you use our Services, we and our third-party partners collect information about you and your mobile devices through cookies and similar technologies we use internet log files, which contain data such as your IP address, in order to monitor traffic on our Services, resolve technical problems with the Services, detect and prevent fraud, and other similar purposes.||When you use our Services, we and our third-party partners collect information about you and your mobile devices through cookies and similar technologies||When you use our Services, we and our third-party partners collect information about you and your mobile devices through cookies and similar technologies our third-party advertising partners may use advertising identifiers, such as Apple\'s Identifier for Advertising (""IDFA"") and Google\'s Advertising Identifier (""AID""), which, similar to cookies, allow our third-party advertising partners to recognize your device when you interact with our Services and to provide you with advertisements that match your interests.||When you use our Services, we and our third-party partners collect information about you and your mobile devices through cookies and similar technologies cookies:'",N1,third party,not_collect,pii,"b'As a California resident, in addition to the choices described above in Section 6 (""Your Choices""), you have the following rights: you may request that we not sell or share your Personal Information to/with third parties.'",2
39_Alpha Manga_ Read Isekai Manga,third party,collect,pii,"b'We ""sell"" Personal Information to third-party services for interest-based advertising and analytics, and these third-party services may use or disclose some of your Personal Information for their benefit.'",C1,third party,not_collect,pii,"b'As a California resident, in addition to the choices described above in Section 6 (""Your Choices""), you have the following rights: you may request that we not sell or share your Personal Information to/with third parties.'",2
"21_Canva_ Design, Art & AI Editor",third party,collect,information about you,"b""Summary: We might share some information about you with our business partners and third-party service providers in order to provide the Service to you or to fulfill Canva's legitimate business interests.""",N4,student,not_collect,pii,b'Canva for Education: We do not sell or share personal information of students using Canva for Education.',0
"21_Canva_ Design, Art & AI Editor",third party,collect,employer name,"b'Summary: Where you use a work or managed email to set up an account, we might share information about the account with your employer or organization associated with the email address they manage and we might transfer control of the account to them.'",C5,student,not_collect,pii,b'Canva for Education: We do not sell or share personal information of students using Canva for Education.',0
169_AI Video Editor - Vidma AI Cut,third party,collect,pii,"b'We may permit third parties to collect personal information through our Services and share each of the categories of personal information described above with third parties for business purposes.||Whenever we transfer your personal data to third parties located in other countries, we will ensure that these companies comply with applicable data protection laws and we will take all measures that are reasonably necessary to ensure the existence of adequate safeguards to protect your personal data and to ensure that are processed safely.'",C1,third party,not_collect,pii,b'We do not sell personal information to third parties for purposes of the CCPA.',1
169_AI Video Editor - Vidma AI Cut,third party,not_collect,pii,b'We do not sell personal information to third parties for purposes of the CCPA.',C1,third party,collect,pii,"b'We may permit third parties to collect personal information through our Services and share each of the categories of personal information described above with third parties for business purposes.||Whenever we transfer your personal data to third parties located in other countries, we will ensure that these companies comply with applicable data protection laws and we will take all measures that are reasonably necessary to ensure the existence of adequate safeguards to protect your personal data and to ensure that are processed safely.'",1
31_Booksy Biz_ For Businesses,analytic provider,collect,pii,"b'We do not share your personal information with third parties other than as described above and as follows we share personal information with third parties who provide services to us, such as data collection, reporting, ad response measurement, and site analytics, as well as assistance with delivery of relevant marketing messages and advertisements.'",C3,third party,not_collect,pii,b'We do not share your personal information with third parties other than as described above and as follows we do not sell your personal information to third parties.',0
31_Booksy Biz_ For Businesses,third party,collect,phone number,b'Booksy may share your telephone number with its authorized service providers as stated in our Privacy Policy.',C2,third party,not_collect,pii,b'We do not share your personal information with third parties other than as described above and as follows we do not sell your personal information to third parties.',0
31_Booksy Biz_ For Businesses,employee,collect,pii,"b'This privacy policy (this ""Policy"") explains how personal information is collected, used, and disclosed by Booksy Inc, 515 North State Street, Suite 460, Chicago, IL 60654 and all its designated agents, employees and subsidiaries (""Booksy"" or ""we"").'",C3,third party,not_collect,pii,b'We do not share your personal information with third parties other than as described above and as follows we do not sell your personal information to third parties.',0
31_Booksy Biz_ For Businesses,customer,collect,account information,"b'In order to use the Payment Services, Customers must provide account information for at least one valid debit or credit card through the Booksy Application.'",C4,third party,not_collect,pii,b'We do not share your personal information with third parties other than as described above and as follows we do not sell your personal information to third parties.',0
31_Booksy Biz_ For Businesses,consultant,collect,pii,"b'We may share personal information with affiliates, third-party vendors, consultants, and other service providers who work for us.'",C3,third party,not_collect,pii,b'We do not share your personal information with third parties other than as described above and as follows we do not sell your personal information to third parties.',0
31_Booksy Biz_ For Businesses,third party,collect,payment card information,"b'We do not share your personal information with third parties other than as described above and as follows we may share your credit or debit card account information with third parties as described in the section called ""Payment Card Information"" above.||These third parties may also store your credit or debit card information, other than your CW number, for your future use on our Sites.'",C2,third party,not_collect,pii,b'We do not share your personal information with third parties other than as described above and as follows we do not sell your personal information to third parties.',0
31_Booksy Biz_ For Businesses,subsidiary,collect,pii,"b'This privacy policy (this ""Policy"") explains how personal information is collected, used, and disclosed by Booksy Inc, 515 North State Street, Suite 460, Chicago, IL 60654 and all its designated agents, employees and subsidiaries (""Booksy"" or ""we"").'",C3,third party,not_collect,pii,b'We do not share your personal information with third parties other than as described above and as follows we do not sell your personal information to third parties.',0
31_Booksy Biz_ For Businesses,third party,collect,non-pii,b'We do not share your personal information with third parties other than as described above and as follows we may also share aggregated or de-identified information with third parties in our discretion.',N1,third party,not_collect,pii,b'We do not share your personal information with third parties other than as described above and as follows we do not sell your personal information to third parties.',0
"36_WEBTOON_ Manga, Comics, Manhwa",third party,collect,pii,"b'We may also disclose your personal information with the following categories of third parties: A third party as part of an actual or planned merger or transfer, acquisition or sale, or in the event of a bankruptcy;||Categories of Third Parties with Whom Personal Information is Disclosed: In the preceding 12 months, we have disclosed your personal information with the following categories of third parties: Vendors who provide services on our behalf;||Subject to applicable exceptions, you may have the right to request that we disclose personal information that we have collected, sold, or shared about you in the past 12 months, including: o the categories and specific pieces of personal information we have collected about you; o the categories of sources from which we collected the personal information; o the categories of personal information about you that we sold or disclosed for a business purpose, and the categories of third parties to whom we sold or disclosed that information for a business purpose; and o the business or commercial purpose for which we collected or sold the personal information.||We disclose or share personal information about you through the Services as described in the following:||We disclose or share personal information about you through the Services as described in the following: Publicly Available Information.'",C1,third party,not_collect,pii,b'We do not share personal information with third parties for their own direct marketing purposes.',2
"36_WEBTOON_ Manga, Comics, Manhwa",analytic provider,collect,pii,"b'Categories of Third Parties with Whom Personal Information is Disclosed: In the preceding 12 months, we have disclosed your personal information with the following categories of third parties: Ad networks, marketing partners, analytics providers;'",C3,third party,not_collect,pii,b'We do not share personal information with third parties for their own direct marketing purposes.',2
"36_WEBTOON_ Manga, Comics, Manhwa",auditor,collect,pii,"b'Categories of Third Parties with Whom Personal Information is Disclosed: In the preceding 12 months, we have disclosed your personal information with the following categories of third parties: Professional services organizations, such as auditors and law firms;'",C3,third party,not_collect,pii,b'We do not share personal information with third parties for their own direct marketing purposes.',0
"36_WEBTOON_ Manga, Comics, Manhwa",third party payment processor,collect,pii,"b'Categories of Third Parties with Whom Personal Information is Disclosed: In the preceding 12 months, we have disclosed your personal information with the following categories of third parties: Payment partners;'",C3,third party,not_collect,pii,b'We do not share personal information with third parties for their own direct marketing purposes.',0
"36_WEBTOON_ Manga, Comics, Manhwa",law firm,collect,pii,"b'Categories of Third Parties with Whom Personal Information is Disclosed: In the preceding 12 months, we have disclosed your personal information with the following categories of third parties: Professional services organizations, such as auditors and law firms;'",C3,third party,not_collect,pii,b'We do not share personal information with third parties for their own direct marketing purposes.',0
"36_WEBTOON_ Manga, Comics, Manhwa",third party,collect,information about you,"b'In addition to the disclosures described in this Privacy Policy, we may share information about you with third parties when you separately consent to or request such sharing.'",N1,third party,not_collect,pii,b'We do not share personal information with third parties for their own direct marketing purposes.',0
"36_WEBTOON_ Manga, Comics, Manhwa",government entity,collect,pii,"b'We may also disclose your personal information with the following categories of third parties: Government entities, including law enforcement as required by law.'",C3,third party,not_collect,pii,b'We do not share personal information with third parties for their own direct marketing purposes.',0
"36_WEBTOON_ Manga, Comics, Manhwa",third party,not_collect,pii,b'We do not share personal information with third parties for their own direct marketing purposes.',C1,third party,collect,pii,"b'We may also disclose your personal information with the following categories of third parties: A third party as part of an actual or planned merger or transfer, acquisition or sale, or in the event of a bankruptcy;||Categories of Third Parties with Whom Personal Information is Disclosed: In the preceding 12 months, we have disclosed your personal information with the following categories of third parties: Vendors who provide services on our behalf;||Subject to applicable exceptions, you may have the right to request that we disclose personal information that we have collected, sold, or shared about you in the past 12 months, including: o the categories and specific pieces of personal information we have collected about you; o the categories of sources from which we collected the personal information; o the categories of personal information about you that we sold or disclosed for a business purpose, and the categories of third parties to whom we sold or disclosed that information for a business purpose; and o the business or commercial purpose for which we collected or sold the personal information.||We disclose or share personal information about you through the Services as described in the following:||We disclose or share personal information about you through the Services as described in the following: Publicly Available Information.'",2
"36_WEBTOON_ Manga, Comics, Manhwa",subsidiary,collect,pii,b'We may share your personal information with our subsidiaries for the purposes described in this Privacy Policy.',C3,third party,not_collect,pii,b'We do not share personal information with third parties for their own direct marketing purposes.',0
137_Microsoft Word_ Edit Documents,third party,collect,content,"b'For example, we share your content with third parties when you tell us to do so, such as when you send an email to a friend, share photos and documents on OneDrive, or link accounts with another service.'",N1,third party,not_collect,pii,"b""We do not use or disclose your sensitive data for purposes other than the following: for short-term transient use (including non-personalized advertising), so long as the personal data is not disclosed to a third party, is not used for profiling, and is not used to alter an individual's experience outside the current interaction with Microsoft""",0
137_Microsoft Word_ Edit Documents,subsidiary,collect,pii,"b'In addition, we share personal data among Microsoft-controlled affiliates and subsidiaries.'",C3,third party,not_collect,pii,"b""We do not use or disclose your sensitive data for purposes other than the following: for short-term transient use (including non-personalized advertising), so long as the personal data is not disclosed to a third party, is not used for profiling, and is not used to alter an individual's experience outside the current interaction with Microsoft""",0
137_Microsoft Word_ Edit Documents,microsoft,collect,identifier,"b'Microsoft apps use additional identifiers, such as the advertising ID in Windows, for similar purposes, and many of our websites and applications also contain web beacons or other similar technologies, as described below.||Microsoft apps use additional identifiers, such as the advertising ID in Windows described in the Advertising ID section of this privacy statement, for similar purposes.||The Microsoft server uses this identifier to return a unique DRM update for your device, which will then be installed by Silverlight.'",C4,third party,not_collect,pii,"b""We do not use or disclose your sensitive data for purposes other than the following: for short-term transient use (including non-personalized advertising), so long as the personal data is not disclosed to a third party, is not used for profiling, and is not used to alter an individual's experience outside the current interaction with Microsoft""",0
137_Microsoft Word_ Edit Documents,microsoft,collect,device information,"b'As part of providing these features, Microsoft collects performance usage and device data, including information about the hardware capabilities of your mobile and Windows devices.||When you visit a website or use an app that wants to show you ads, the digital property may allow Microsoft to access or receive device data or certain other data identified in the Personal data we collect section above.'",C4,third party,not_collect,pii,"b""We do not use or disclose your sensitive data for purposes other than the following: for short-term transient use (including non-personalized advertising), so long as the personal data is not disclosed to a third party, is not used for profiling, and is not used to alter an individual's experience outside the current interaction with Microsoft""",0
