id,filename,tuple1,tuple2,contextId1,contextId2,label
36,104_GOHUNT,"(advertiser,  collect,  internet_activity,  specific operation)","(third_parties,  not collect,  personal_info,  no condition)",293,303,1
37,104_GOHUNT,"(advertiser,  collect,  internet_activity,  specific operation)","(unspecified entity,  not collect,  account, no condition)",293,353,-1
38,104_GOHUNT,"(advertiser,  collect,  internet_activity,  specific operation)","(unspecified entity,  not collect,  browsing, user action)",293,344,-1
39,104_GOHUNT,"(advertiser,  collect,  personal_info,  third party and specific operation)","(unspecified entity,  not collect,  browsing, user action)",300,344,-1
40,104_GOHUNT,"(advertiser,  collect,  personal_info,  third party and specific operation)","(unspecified entity,  not collect,  cookie, user action)",300,344,-1
41,104_GOHUNT,"(analytics,  collect,  analytics,  security)","(third_parties,  not collect,  personal_info,  no condition)",303,311,-1
42,104_GOHUNT,"(analytics,  collect,  email,  user input)","(third_parties,  not collect,  personal_info,  no condition)",303,311,-1
43,104_GOHUNT,"(auth_provider,  collect,  cookie,  third party)","(third_parties,  not collect,  personal_info,  no condition)",285,303,-1
44,104_GOHUNT,"(google_play,  collect,  device,  third party)","(third_parties,  not collect,  personal_info,  no condition)",303,426,-1
45,104_GOHUNT,"(google_play,  collect,  device,  third party)","(unspecified entity,  not collect,  account, no condition)",353,426,-1
46,104_GOHUNT,"(itunes,  collect,  device,  third party)","(third_parties,  not collect,  personal_info,  no condition)",303,426,-1
47,104_GOHUNT,"(itunes,  collect,  device,  third party)","(unspecified entity,  not collect,  account, no condition)",353,426,-1
48,104_GOHUNT,"(third_parties,  collect,  browsing,  third party and consent)","(unspecified entity,  not collect,  browsing, user action)",291,344,-1
49,104_GOHUNT,"(third_parties,  collect,  cookie, user action)","(third_parties,  not collect,  personal_info,  no condition)",291,303,1
50,104_GOHUNT,"(third_parties,  collect,  cookie, user action)","(unspecified entity,  not collect,  cookie, user action)",291,344,-1
51,104_GOHUNT,"(third_parties,  collect,  device, third party)","(third_parties,  not collect,  personal_info,  no condition)",303,418,-1
52,104_GOHUNT,"(third_parties,  collect,  device, third party)","(unspecified entity,  not collect,  account, no condition)",353,418,-1
53,104_GOHUNT,"(third_parties,  collect,  personal_info, third party)","(third_parties,  not collect,  personal_info,  no condition)",303,323,-1
54,104_GOHUNT,"(third_parties,  collect,  personal_info, third party)","(unspecified entity,  not collect,  account, no condition)",323,353,-1
55,104_GOHUNT,"(unspecified entity,  collect,  address, user action)","(third_parties,  not collect,  personal_info,  no condition)",266,303,-1
56,104_GOHUNT,"(unspecified entity,  collect,  browsing,  no condition)","(third_parties,  not collect,  personal_info,  no condition)",303,344,-1
57,104_GOHUNT,"(unspecified entity,  collect,  city,  user input and region)","(advertiser,  not collect,  personal_info,  user input)",300,352,-1
58,104_GOHUNT,"(unspecified entity,  collect,  contact_information, user action)","(third_parties,  not collect,  personal_info,  no condition)",266,303,-1
59,104_GOHUNT,"(unspecified entity,  collect,  cookie, user action)","(third_parties,  not collect,  personal_info,  no condition)",303,344,-1
60,104_GOHUNT,"(unspecified entity,  collect,  cookie, user action)","(unspecified entity,  not collect,  cookie, user action)",344,344,-1
61,104_GOHUNT,"(unspecified entity,  collect,  country,  no condition)","(third_parties,  not collect,  personal_info,  no condition)",303,349,-1
62,104_GOHUNT,"(unspecified entity,  collect,  email, user action and management)","(unspecified entity,  not collect,  personal_info, management)",398,416,-1
63,104_GOHUNT,"(unspecified entity,  collect,  personal_info, user action)","(third_parties,  not collect,  personal_info,  no condition)",266,303,-1
64,104_GOHUNT,"(unspecified entity,  collect,  personal_info, user action)","(unspecified entity,  not collect,  account, no condition)",266,353,-1
65,104_GOHUNT,"(unspecified entity,  collect,  personal_name, user action)","(third_parties,  not collect,  personal_info,  no condition)",266,303,-1
66,104_GOHUNT,"(unspecified entity,  collect,  phone_number, third party and input)","(advertiser,  not collect,  personal_info,  user input)",266,300,-1
67,104_GOHUNT,"(we,  collect,  address, user action)","(we,  not collect,  personal_info, no condition)",262,264,-1
68,104_GOHUNT,"(we,  collect,  advertising_statistics, no condition)","(we,  not collect,  personal_info, no condition)",262,308,-1
69,104_GOHUNT,"(we,  collect,  analytics, management)","(we,  not collect,  personal_info, no condition)",262,323,0
70,104_GOHUNT,"(we,  collect,  city,  user input)","(we,  not collect,  personal_info, no condition)",262,264,-1
71,104_GOHUNT,"(we,  collect,  coarse_location, user action)","(we,  not collect,  personal_info, no condition)",262,264,-1
72,104_GOHUNT,"(we,  collect,  contact_information, user action)","(we,  not collect,  personal_info, no condition)",262,308,-1
73,104_GOHUNT,"(we,  collect,  cookie, user action)","(we,  not collect,  personal_info, no condition)",262,271,-1
74,104_GOHUNT,"(we,  collect,  country, user action)","(we,  not collect,  personal_info, no condition)",262,288,-1
75,104_GOHUNT,"(we,  collect,  email, user action)","(we,  not collect,  personal_info, no condition)",262,323,0
76,104_GOHUNT,"(we,  collect,  gps,  specific operation)","(we,  not collect,  personal_info, no condition)",262,269,-1
77,104_GOHUNT,"(we,  collect,  id_card,  user input and data security)","(we,  not collect,  id_card,  region)",371,371,-1
78,104_GOHUNT,"(we,  collect,  internet_activity, no condition)","(we,  not collect,  personal_info, no condition)",262,265,-1
79,104_GOHUNT,"(we,  collect,  location, user action)","(we,  not collect,  personal_info, no condition)",262,262,-1
80,104_GOHUNT,"(we,  collect,  personal_info, user action)","(we,  not collect,  age, no condition)",261,262,-1
81,104_GOHUNT,"(we,  collect,  personal_info, user action)","(we,  not collect,  personal_info, no condition)",262,262,-1
82,104_GOHUNT,"(we,  collect,  personal_name,  user input)","(we,  not collect,  personal_info, no condition)",262,264,-1
83,104_GOHUNT,"(we,  collect,  phone_number, user action)","(we,  not collect,  personal_info, no condition)",262,264,-1
84,105_Escort Live Radar,"(experiences,  collect,  contact_information,  user input)","(unspecified entity,  not collect,  personal_info, no condition)",474,507,-1
85,105_Escort Live Radar,"(experiences,  collect,  personal_info,  user input)","(unspecified entity,  not collect,  account,  no condition)",451,474,0
86,105_Escort Live Radar,"(experiences,  collect,  personal_info,  user input)","(unspecified entity,  not collect,  personal_info, no condition)",474,507,-1
87,105_Escort Live Radar,"(third_parties,  collect,  personal_info, no condition)","(unspecified entity,  not collect,  personal_info, no condition)",488,507,-1
88,105_Escort Live Radar,"(unspecified entity,  collect,  account, user action)","(unspecified entity,  not collect,  account,  no condition)",451,453,-1
89,105_Escort Live Radar,"(unspecified entity,  collect,  account, user action)","(unspecified entity,  not collect,  personal_info, no condition)",453,507,-1
90,105_Escort Live Radar,"(unspecified entity,  collect,  address, user action)","(unspecified entity,  not collect,  personal_info, no condition)",453,507,-1
91,105_Escort Live Radar,"(unspecified entity,  collect,  contact_information, user action)","(unspecified entity,  not collect,  personal_info, no condition)",453,507,-1
92,105_Escort Live Radar,"(unspecified entity,  collect,  cookie,  consent)","(unspecified entity,  not collect,  personal_info, no condition)",473,507,-1
93,105_Escort Live Radar,"(unspecified entity,  collect,  email,  user input)","(unspecified entity,  not collect,  personal_info, no condition)",449,507,-1
94,105_Escort Live Radar,"(unspecified entity,  collect,  personal_info, user action)","(unspecified entity,  not collect,  account,  no condition)",436,451,0
95,105_Escort Live Radar,"(unspecified entity,  collect,  personal_info, user action)","(unspecified entity,  not collect,  personal_info, no condition)",436,507,-1
96,105_Escort Live Radar,"(unspecified entity,  collect,  personal_name, user action)","(unspecified entity,  not collect,  personal_info, no condition)",453,507,-1
97,105_Escort Live Radar,"(usa,  collect,  personal_info,  specific operation)","(unspecified entity,  not collect,  account,  no condition)",451,468,-1
98,105_Escort Live Radar,"(usa,  collect,  personal_info,  specific operation)","(unspecified entity,  not collect,  personal_info, no condition)",468,507,-1
99,105_Escort Live Radar,"(we,  collect,  advertising_id,  third party service)","(we,  not collect,  personal_info, no condition)",478,498,-1
100,105_Escort Live Radar,"(we,  collect,  advertising_statistics,  third party service)","(we,  not collect,  personal_info, no condition)",478,498,-1
101,105_Escort Live Radar,"(we,  collect,  analytics,  third party service)","(we,  not collect,  personal_info, no condition)",478,498,-1
102,105_Escort Live Radar,"(we,  collect,  personal_info, user action)","(we,  not collect,  personal_info, no condition)",485,498,-1
103,106_epocrates,"(advertiser,  collect,  browsing,  third party service and consent)","(unspecified entity,  not collect,  personal_info,  third party service)",583,604,-1
104,106_epocrates,"(advertiser,  collect,  cookie,  third party service and consent)","(unspecified entity,  not collect,  personal_info,  third party service)",583,604,-1
105,106_epocrates,"(social_media,  collect,  personal_info,  user consent)","(unspecified entity,  not collect,  protected_information,  no condition)",513,602,-1
106,106_epocrates,"(third_parties,  collect,  cookie,  third party service and consent)","(unspecified entity,  not collect,  personal_info,  third party service)",583,604,-1
107,106_epocrates,"(third_parties,  collect,  personal_info, third party)","(unspecified entity,  not collect,  protected_information,  no condition)",557,602,1
108,106_epocrates,"(unspecified entity,  collect,  address, user action)","(unspecified entity,  not collect,  protected_information,  no condition)",531,602,1
109,106_epocrates,"(unspecified entity,  collect,  city,  specific operation)","(unspecified entity,  not collect,  protected_information,  no condition)",517,602,0
110,106_epocrates,"(unspecified entity,  collect,  country,  no condition)","(unspecified entity,  not collect,  protected_information,  no condition)",523,602,1
111,106_epocrates,"(unspecified entity,  collect,  date_of_birth,  no condition)","(unspecified entity,  not collect,  protected_information,  no condition)",523,602,1
112,106_epocrates,"(unspecified entity,  collect,  email, user action)","(unspecified entity,  not collect,  protected_information,  no condition)",542,602,-1
113,106_epocrates,"(unspecified entity,  collect,  ip_address, user action)","(unspecified entity,  not collect,  protected_information,  no condition)",531,602,1
114,106_epocrates,"(unspecified entity,  collect,  location, user action)","(unspecified entity,  not collect,  protected_information,  no condition)",531,602,1
115,106_epocrates,"(unspecified entity,  collect,  personal_info, user action)","(unspecified entity,  not collect,  protected_information,  no condition)",560,602,-1
116,106_epocrates,"(unspecified entity,  collect,  personal_name,  no condition)","(unspecified entity,  not collect,  protected_information,  no condition)",523,602,1
117,107_Uptodate Lexidrug,"(third_parties,  collect,  personal_info, third party service and region and sharing)","(advertiser,  not collect,  cookie,  region)",623,642,-1
118,107_Uptodate Lexidrug,"(we,  collect,  contact_information,  user input and third party)","(we,  not collect,  personal_info, user action)",616,619,0
119,107_Uptodate Lexidrug,"(we,  collect,  cookie, user action)","(we,  not collect,  personal_info, user action)",611,616,-1
120,107_Uptodate Lexidrug,"(we,  collect,  personal_info, user action and third party)","(we,  not collect,  personal_info, user action)",611,616,-1
121,109_Nursing Central,"(unspecified entity,  collect,  email, user action)","(unspecified entity,  not collect,  personal_info, no condition)",662,668,-1
122,109_Nursing Central,"(unspecified entity,  collect,  personal_name,  user input)","(unspecified entity,  not collect,  personal_info, no condition)",662,668,-1
123,10_Telegram,"(android,  collect,  contact_information,  user consent)","(unspecified entity,  not collect,  personal_info, no condition)",718,768,-1
124,10_Telegram,"(android,  collect,  log,  user consent)","(unspecified entity,  not collect,  personal_info, no condition)",718,768,-1
125,10_Telegram,"(auth_provider,  collect,  email,  specific operation)","(unspecified entity,  not collect,  personal_info, no condition)",706,768,-1
126,10_Telegram,"(unspecified entity,  collect,  address, user action)","(unspecified entity,  not collect,  personal_info, no condition)",703,768,0
127,10_Telegram,"(unspecified entity,  collect,  email,  user input)","(unspecified entity,  not collect,  personal_info, no condition)",703,768,0
128,10_Telegram,"(unspecified entity,  collect,  phone_number,  security)","(unspecified entity,  not collect,  personal_info, no condition)",701,768,-1
129,10_Telegram,"(we,  collect,  device, management)","(we,  not collect,  personal_info, management)",731,762,-1
130,10_Telegram,"(we,  collect,  ip_address, user action and management)","(we,  not collect,  personal_info, management)",762,763,-1
131,110_Seizure Alert Wear3 - MMW,"(analytics,  collect,  analytics,  no condition)","(unspecified entity,  not collect,  internet_activity,  no condition)",800,803,-1
132,110_Seizure Alert Wear3 - MMW,"(analytics,  collect,  cookie,  user consent)","(unspecified entity,  not collect,  cookie,  no condition)",797,803,-1
133,110_Seizure Alert Wear3 - MMW,"(google_analytics,  collect,  analytics,  third party)","(unspecified entity,  not collect,  internet_activity,  no condition)",791,800,-1
134,110_Seizure Alert Wear3 - MMW,"(third_parties,  collect,  analytics,  third party service)","(unspecified entity,  not collect,  internet_activity,  no condition)",800,814,-1
135,110_Seizure Alert Wear3 - MMW,"(unspecified entity,  collect,  cookie, user action)","(unspecified entity,  not collect,  cookie,  no condition)",797,800,-1
136,110_Seizure Alert Wear3 - MMW,"(unspecified entity,  collect,  device, consent and region)","(unspecified entity,  not collect,  personal_info,  region)",837,840,-1
137,110_Seizure Alert Wear3 - MMW,"(we,  collect,  browsing, specific operation)","(we,  not collect,  personal_info, no condition)",789,810,-1
138,110_Seizure Alert Wear3 - MMW,"(we,  collect,  contact_information, user action)","(we,  not collect,  personal_info, no condition)",808,810,-1
139,110_Seizure Alert Wear3 - MMW,"(we,  collect,  cookie, consent)","(we,  not collect,  personal_info, no condition)",799,810,-1
140,110_Seizure Alert Wear3 - MMW,"(we,  collect,  device, user action)","(we,  not collect,  personal_info, no condition)",789,810,-1
141,110_Seizure Alert Wear3 - MMW,"(we,  collect,  email, user action)","(we,  not collect,  personal_info, no condition)",810,819,-1
142,110_Seizure Alert Wear3 - MMW,"(we,  collect,  gps,  specific operation)","(we,  not collect,  personal_info, no condition)",787,810,-1
143,110_Seizure Alert Wear3 - MMW,"(we,  collect,  location,  specific operation)","(we,  not collect,  personal_info, no condition)",787,810,-1
144,110_Seizure Alert Wear3 - MMW,"(we,  collect,  log, specific operation)","(we,  not collect,  personal_info, no condition)",789,810,-1
145,110_Seizure Alert Wear3 - MMW,"(we,  collect,  personal_info, user action)","(we,  not collect,  personal_info, no condition)",808,810,-1
146,110_Seizure Alert Wear3 - MMW,"(we,  collect,  protected_information,  region and user input)","(we,  not collect,  contact_information,  region)",783,813,-1
147,111_Pandora - Music & Podcasts,"(adobe,  collect,  analytics,  third party)","(third_parties,  not collect,  analytics,  third party)",948,1030,-1
148,111_Pandora - Music & Podcasts,"(adobe,  collect,  analytics,  third party)","(third_parties,  not collect,  device,  third party)",948,1030,-1
149,111_Pandora - Music & Podcasts,"(adobe,  collect,  analytics,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",948,982,-1
150,111_Pandora - Music & Podcasts,"(adobe,  collect,  cookie,  third party)","(third_parties,  not collect,  device,  third party)",948,1030,-1
151,111_Pandora - Music & Podcasts,"(adobe,  collect,  cookie,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",948,982,-1
152,111_Pandora - Music & Podcasts,"(advertiser,  collect,  account, no condition)","(unspecified entity,  not collect,  personal_info, no condition)",982,1023,-1
153,111_Pandora - Music & Podcasts,"(advertiser,  collect,  advertising_id, no condition)","(third_parties,  not collect,  advertising_id, no condition)",1023,1030,-1
154,111_Pandora - Music & Podcasts,"(advertiser,  collect,  advertising_id, no condition)","(unspecified entity,  not collect,  personal_info, no condition)",982,1023,-1
155,111_Pandora - Music & Podcasts,"(advertiser,  collect,  advertising_statistics, no condition)","(unspecified entity,  not collect,  personal_info, no condition)",944,982,-1
156,111_Pandora - Music & Podcasts,"(advertiser,  collect,  analytics, no condition)","(unspecified entity,  not collect,  personal_info, no condition)",982,1023,-1
157,111_Pandora - Music & Podcasts,"(advertiser,  collect,  contact_information,  user input)","(advertiser,  not collect,  personal_info, user action)",995,999,-1
158,111_Pandora - Music & Podcasts,"(advertiser,  collect,  contact_information,  user input)","(unspecified entity,  not collect,  personal_info, no condition)",982,999,-1
159,111_Pandora - Music & Podcasts,"(advertiser,  collect,  cookie,  third party)","(third_parties,  not collect,  device,  third party)",944,1030,-1
160,111_Pandora - Music & Podcasts,"(advertiser,  collect,  cookie,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",944,982,-1
161,111_Pandora - Music & Podcasts,"(advertiser,  collect,  device, user action)","(advertiser,  not collect,  personal_info, user action)",944,995,-1
162,111_Pandora - Music & Podcasts,"(advertiser,  collect,  device, user action)","(third_parties,  not collect,  advertising_id, no condition)",944,1030,-1
163,111_Pandora - Music & Podcasts,"(advertiser,  collect,  device, user action)","(unspecified entity,  not collect,  personal_info, no condition)",944,982,-1
164,111_Pandora - Music & Podcasts,"(advertiser,  collect,  email,  user input)","(advertiser,  not collect,  personal_info, user action)",995,999,-1
165,111_Pandora - Music & Podcasts,"(advertiser,  collect,  email,  user input)","(unspecified entity,  not collect,  personal_info, no condition)",982,999,-1
166,111_Pandora - Music & Podcasts,"(advertiser,  collect,  log,  third party and specific operation)","(advertiser,  not collect,  personal_info, user action)",915,995,-1
167,111_Pandora - Music & Podcasts,"(advertiser,  collect,  log,  third party and specific operation)","(third_parties,  not collect,  device,  third party)",915,1030,-1
168,111_Pandora - Music & Podcasts,"(advertiser,  collect,  personal_info, user action)","(advertiser,  not collect,  personal_info, user action)",944,995,-1
169,111_Pandora - Music & Podcasts,"(advertiser,  collect,  personal_info, user action)","(third_parties,  not collect,  advertising_id, no condition)",944,1030,-1
170,111_Pandora - Music & Podcasts,"(advertiser,  collect,  personal_info, user action)","(unspecified entity,  not collect,  personal_info, no condition)",944,982,-1
171,111_Pandora - Music & Podcasts,"(analytics,  collect,  analytics, user action and third party)","(third_parties,  not collect,  analytics,  third party)",854,1030,-1
172,111_Pandora - Music & Podcasts,"(analytics,  collect,  analytics, user action and third party)","(third_parties,  not collect,  device,  third party)",854,1030,-1
173,111_Pandora - Music & Podcasts,"(analytics,  collect,  cookie,  region and consent)","(third_parties,  not collect,  personal_info,  region)",995,1014,-1
174,111_Pandora - Music & Podcasts,"(android,  collect,  browsing,  third party)","(third_parties,  not collect,  device,  third party)",946,1030,1
175,111_Pandora - Music & Podcasts,"(android,  collect,  browsing,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",946,982,-1
176,111_Pandora - Music & Podcasts,"(android,  collect,  device,  third party)","(third_parties,  not collect,  advertising_id, no condition)",946,1030,1
177,111_Pandora - Music & Podcasts,"(android,  collect,  device,  third party)","(third_parties,  not collect,  device,  third party)",946,1030,1
178,111_Pandora - Music & Podcasts,"(android,  collect,  device,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",946,982,-1
179,111_Pandora - Music & Podcasts,"(apple,  collect,  advertising_statistics,  third party and region)","(third_parties,  not collect,  advertising_statistics,  third party)",945,1030,-1
180,111_Pandora - Music & Podcasts,"(apple,  collect,  advertising_statistics,  third party and region)","(third_parties,  not collect,  device,  third party)",945,1030,-1
181,111_Pandora - Music & Podcasts,"(apple,  collect,  advertising_statistics,  third party and region)","(third_parties,  not collect,  personal_info,  region)",945,1014,-1
182,111_Pandora - Music & Podcasts,"(apple,  collect,  device,  third party and region)","(third_parties,  not collect,  account,  third party)",945,1030,-1
183,111_Pandora - Music & Podcasts,"(apple,  collect,  device,  third party and region)","(third_parties,  not collect,  advertising_statistics,  third party)",945,1030,-1
184,111_Pandora - Music & Podcasts,"(apple,  collect,  device,  third party and region)","(third_parties,  not collect,  analytics,  third party)",945,1030,-1
185,111_Pandora - Music & Podcasts,"(apple,  collect,  device,  third party and region)","(third_parties,  not collect,  device,  third party)",945,1030,-1
186,111_Pandora - Music & Podcasts,"(apple,  collect,  device,  third party and region)","(third_parties,  not collect,  personal_info,  region)",945,1014,-1
187,111_Pandora - Music & Podcasts,"(experiences,  collect,  personal_info,  specific operation)","(third_parties,  not collect,  advertising_id, no condition)",873,1030,-1
188,111_Pandora - Music & Podcasts,"(experiences,  collect,  personal_info,  specific operation)","(unspecified entity,  not collect,  account, user action)",873,964,-1
189,111_Pandora - Music & Podcasts,"(experiences,  collect,  personal_info,  specific operation)","(unspecified entity,  not collect,  location, user action)",873,900,-1
190,111_Pandora - Music & Podcasts,"(experiences,  collect,  personal_info,  specific operation)","(unspecified entity,  not collect,  personal_info, no condition)",873,982,-1
191,111_Pandora - Music & Podcasts,"(facebook,  collect,  cookie,  third party)","(third_parties,  not collect,  device,  third party)",932,1030,-1
192,111_Pandora - Music & Podcasts,"(facebook,  collect,  cookie,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",932,982,-1
193,111_Pandora - Music & Podcasts,"(facebook,  collect,  ip_address,  third party)","(third_parties,  not collect,  device,  third party)",932,1030,-1
194,111_Pandora - Music & Podcasts,"(facebook,  collect,  ip_address,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",932,982,-1
195,111_Pandora - Music & Podcasts,"(google,  collect,  browsing,  third party)","(third_parties,  not collect,  device,  third party)",946,1030,1
196,111_Pandora - Music & Podcasts,"(google,  collect,  browsing,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",946,982,-1
197,111_Pandora - Music & Podcasts,"(google,  collect,  device,  third party)","(third_parties,  not collect,  advertising_id, no condition)",946,1030,1
198,111_Pandora - Music & Podcasts,"(google,  collect,  device,  third party)","(third_parties,  not collect,  device,  third party)",946,1030,1
199,111_Pandora - Music & Podcasts,"(google,  collect,  device,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",946,982,-1
200,111_Pandora - Music & Podcasts,"(google_analytics,  collect,  analytics,  third party)","(third_parties,  not collect,  analytics,  third party)",948,1030,-1
201,111_Pandora - Music & Podcasts,"(google_analytics,  collect,  analytics,  third party)","(third_parties,  not collect,  device,  third party)",948,1030,-1
202,111_Pandora - Music & Podcasts,"(google_analytics,  collect,  analytics,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",948,982,-1
203,111_Pandora - Music & Podcasts,"(google_analytics,  collect,  cookie,  third party)","(third_parties,  not collect,  device,  third party)",948,1030,-1
204,111_Pandora - Music & Podcasts,"(google_analytics,  collect,  cookie,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",948,982,-1
205,111_Pandora - Music & Podcasts,"(meta,  collect,  cookie,  third party)","(third_parties,  not collect,  device,  third party)",932,1030,-1
206,111_Pandora - Music & Podcasts,"(meta,  collect,  cookie,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",932,982,-1
207,111_Pandora - Music & Podcasts,"(meta,  collect,  ip_address,  third party)","(third_parties,  not collect,  device,  third party)",932,1030,-1
208,111_Pandora - Music & Podcasts,"(meta,  collect,  ip_address,  third party)","(unspecified entity,  not collect,  personal_info, no condition)",932,982,-1
209,111_Pandora - Music & Podcasts,"(social_media,  collect,  device,  third party and specific operation)","(third_parties,  not collect,  account,  third party)",915,1030,-1
210,111_Pandora - Music & Podcasts,"(social_media,  collect,  device,  third party and specific operation)","(third_parties,  not collect,  advertising_statistics,  third party)",915,1030,-1
211,111_Pandora - Music & Podcasts,"(social_media,  collect,  device,  third party and specific operation)","(third_parties,  not collect,  analytics,  third party)",915,1030,-1
212,111_Pandora - Music & Podcasts,"(social_media,  collect,  device,  third party and specific operation)","(third_parties,  not collect,  device,  third party)",915,1030,-1
213,111_Pandora - Music & Podcasts,"(social_media,  collect,  device,  third party and specific operation)","(unspecified entity,  not collect,  account, user action)",915,964,-1
214,111_Pandora - Music & Podcasts,"(social_media,  collect,  log,  third party and specific operation)","(third_parties,  not collect,  device,  third party)",915,1030,-1
